,March_SOL,March_SOL,March_SOL,April_SOL,April_SOL,April_SOL,May_SOL,May_SOL,May_SOL,June_SOL,June_SOL,June_SOL,July_SOL,July_SOL,July_SOL
,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label
0,2022-03-07 13:45:00,0.090578,Neutral,2022-04-01 09:05:05,-0.02715,Neutral,2022-05-01 21:12:33,0.032641,Neutral,2022-06-01 13:40:28,-0.088587,Neutral,2022-07-01 03:21:21,0.026548,Neutral
1,2022-03-07 13:45:00,0.090487,Neutral,2022-04-01 09:42:43,-0.032465,Neutral,2022-05-03 12:33:53,-0.228738,Somewhat-Bearish,2022-06-01 20:05:13,-0.050415,Neutral,2022-07-01 10:15:00,0.077494,Neutral
2,2022-03-09 13:54:43,-0.165764,Somewhat-Bearish,2022-04-01 11:20:00,0.156317,Somewhat-Bullish,2022-05-03 17:06:41,0.314482,Somewhat-Bullish,2022-06-02 04:43:19,-0.331836,Somewhat-Bearish,2022-07-01 12:15:00,-0.16209,Somewhat-Bearish
3,2022-03-10 13:15:00,0.285311,Somewhat-Bullish,2022-04-01 11:30:00,-0.014951,Neutral,2022-05-04 17:35:26,0.226739,Somewhat-Bullish,2022-06-03 09:57:00,0.055127,Neutral,2022-07-02 09:45:00,0.214502,Somewhat-Bullish
4,2022-03-10 21:42:49,0.052337,Neutral,2022-04-02 12:45:00,0.258717,Somewhat-Bullish,2022-05-07 11:45:00,0.204775,Somewhat-Bullish,2022-06-03 11:33:00,-0.027536,Neutral,2022-07-05 05:54:36,0.026595,Neutral
5,2022-03-11 13:40:00,0.108887,Neutral,2022-04-02 19:00:54,0.064052,Neutral,2022-05-08 16:50:21,-0.017199,Neutral,2022-06-06 10:15:00,0.010552,Neutral,2022-07-06 14:00:00,0.068825,Neutral
6,2022-03-11 19:56:23,-0.057835,Neutral,2022-04-02 20:01:18,0.067244,Neutral,2022-05-08 19:18:08,-0.097729,Neutral,2022-06-06 11:15:00,0.04514,Neutral,2022-07-06 16:08:50,-0.023652,Neutral
7,2022-03-15 20:27:07,-0.01145,Neutral,2022-04-03 21:47:00,0.085994,Neutral,2022-05-09 16:13:19,0.031423,Neutral,2022-06-06 11:35:52,-0.041556,Neutral,2022-07-06 18:55:19,0.085743,Neutral
8,2022-03-16 12:30:00,0.226996,Somewhat-Bullish,2022-04-06 12:45:00,0.175673,Somewhat-Bullish,2022-05-10 04:11:14,-0.089056,Neutral,2022-06-07 09:01:34,-0.147129,Neutral,2022-07-07 15:51:20,0.107639,Neutral
9,2022-03-17 10:00:00,0.057243,Neutral,2022-04-06 17:49:17,0.162956,Somewhat-Bullish,2022-05-10 10:45:00,0.084779,Neutral,2022-06-07 15:41:21,-0.204424,Somewhat-Bearish,2022-07-07 18:42:31,0.082073,Neutral
10,2022-03-17 10:51:55,0.059193,Neutral,2022-04-07 16:12:52,0.01876,Neutral,2022-05-11 18:20:16,-0.022857,Neutral,2022-06-07 16:13:17,-0.001998,Neutral,2022-07-11 16:14:54,0.109658,Neutral
11,2022-03-17 12:15:00,0.048371,Neutral,2022-04-08 12:45:00,0.152703,Somewhat-Bullish,2022-05-12 10:45:00,-0.279451,Somewhat-Bearish,2022-06-08 14:54:01,0.024977,Neutral,2022-07-12 17:04:18,0.2897,Somewhat-Bullish
12,2022-03-18 13:22:01,0.068396,Neutral,2022-04-08 14:16:20,0.228248,Somewhat-Bullish,2022-05-12 18:06:03,-0.192033,Somewhat-Bearish,2022-06-08 17:04:30,0.011014,Neutral,2022-07-13 15:52:10,0.056915,Neutral
13,2022-03-18 19:39:52,0.164223,Somewhat-Bullish,2022-04-08 20:32:39,-0.099551,Neutral,2022-05-13 06:19:16,-0.0982,Neutral,2022-06-09 10:00:00,-0.206365,Somewhat-Bearish,2022-07-14 09:50:00,0.253552,Somewhat-Bullish
14,2022-03-18 21:12:08,0.025434,Neutral,2022-04-09 12:52:25,-0.077548,Neutral,2022-05-13 12:45:00,0.160632,Somewhat-Bullish,2022-06-11 10:30:00,0.089257,Neutral,2022-07-15 20:44:18,0.089743,Neutral
15,2022-03-22 04:16:53,-0.023312,Neutral,2022-04-11 18:54:05,-0.30238,Somewhat-Bearish,2022-05-13 20:06:20,-0.176653,Somewhat-Bearish,2022-06-12 10:00:00,0.136747,Neutral,2022-07-16 11:31:00,0.126139,Neutral
16,2022-03-22 12:15:00,0.28075,Somewhat-Bullish,2022-04-12 09:41:09,-0.028246,Neutral,2022-05-14 13:00:00,0.241653,Somewhat-Bullish,2022-06-13 19:01:38,0.03059,Neutral,2022-07-16 20:51:00,0.118314,Neutral
17,2022-03-22 22:20:07,0.050707,Neutral,2022-04-12 12:21:55,-0.019359,Neutral,2022-05-17 11:23:00,0.171452,Somewhat-Bullish,2022-06-15 15:05:32,-0.216554,Somewhat-Bearish,2022-07-18 09:02:31,0.180917,Somewhat-Bullish
18,2022-03-23 09:45:00,0.061557,Neutral,2022-04-13 00:12:04,0.051516,Neutral,2022-05-18 09:43:25,0.063427,Neutral,2022-06-16 12:10:00,0.046816,Neutral,2022-07-18 18:46:30,0.224098,Somewhat-Bullish
19,2022-03-24 18:08:00,0.086426,Neutral,2022-04-13 10:17:00,0.090475,Neutral,2022-05-18 10:17:00,-0.240655,Somewhat-Bearish,2022-06-16 12:46:00,-0.234675,Somewhat-Bearish,2022-07-19 08:50:35,0.165578,Somewhat-Bullish
20,2022-03-27 20:27:39,0.037136,Neutral,2022-04-14 17:00:11,-0.062163,Neutral,2022-05-20 14:11:57,-0.260535,Somewhat-Bearish,2022-06-16 23:46:08,-0.276697,Somewhat-Bearish,2022-07-19 18:56:20,0.007337,Neutral
21,2022-03-28 10:53:43,-0.070733,Neutral,2022-04-14 17:18:41,0.198226,Somewhat-Bullish,2022-05-23 13:26:00,-0.011377,Neutral,2022-06-17 17:06:41,-0.231145,Somewhat-Bearish,2022-07-20 04:10:56,0.021226,Neutral
22,2022-03-28 14:01:31,0.029156,Neutral,2022-04-16 13:30:00,0.229165,Somewhat-Bullish,2022-05-26 14:09:00,0.126094,Neutral,2022-06-18 20:58:22,-0.147123,Neutral,2022-07-20 06:57:48,0.151048,Somewhat-Bullish
23,2022-03-28 19:38:27,0.092568,Neutral,2022-04-17 18:49:35,0.035062,Neutral,2022-05-27 12:37:00,0.078025,Neutral,2022-06-20 14:55:46,-0.06895,Neutral,2022-07-21 19:49:09,-0.098877,Neutral
24,2022-03-29 01:18:58,0.073391,Neutral,2022-04-18 09:52:00,-0.04056,Neutral,2022-05-30 17:47:13,0.021574,Neutral,2022-06-20 18:16:35,0.033201,Neutral,2022-07-24 10:15:00,0.207881,Somewhat-Bullish
25,2022-03-29 05:12:39,0.018856,Neutral,2022-04-18 13:11:59,0.03142,Neutral,,,,2022-06-21 15:58:42,0.060794,Neutral,2022-07-25 16:31:28,0.480389,Bullish
26,2022-03-29 22:56:38,0.019547,Neutral,2022-04-20 09:26:39,-0.005483,Neutral,,,,2022-06-21 17:46:19,-8.7e-05,Neutral,2022-07-26 08:25:11,-0.071043,Neutral
27,2022-03-30 10:45:00,0.164646,Somewhat-Bullish,2022-04-20 12:15:00,-0.056968,Neutral,,,,2022-06-21 17:46:48,0.027008,Neutral,2022-07-26 18:29:14,0.021928,Neutral
28,2022-03-30 12:15:00,0.07617,Neutral,2022-04-20 12:45:00,0.07387,Neutral,,,,2022-06-21 22:19:50,0.140141,Neutral,2022-07-27 04:44:47,0.170696,Somewhat-Bullish
29,2022-03-30 12:35:00,0.169043,Somewhat-Bullish,2022-04-21 10:15:00,0.250858,Somewhat-Bullish,,,,2022-06-23 22:23:48,-0.018297,Neutral,2022-07-27 09:45:00,0.169173,Somewhat-Bullish
30,2022-03-30 21:28:24,0.079663,Neutral,2022-04-25 11:15:00,-0.03224,Neutral,,,,2022-06-24 05:19:13,-0.103721,Neutral,2022-07-27 12:30:00,0.22408,Somewhat-Bullish
31,,,,2022-04-28 13:00:00,0.296438,Somewhat-Bullish,,,,2022-06-28 11:30:00,0.016449,Neutral,2022-07-28 11:15:00,0.187661,Somewhat-Bullish
32,,,,2022-04-29 12:15:00,-0.187561,Somewhat-Bearish,,,,2022-06-28 15:15:50,0.108876,Neutral,2022-07-29 10:15:00,0.254686,Somewhat-Bullish
33,,,,2022-04-29 19:12:50,0.046983,Neutral,,,,2022-06-28 21:27:27,-0.012393,Neutral,,,
34,,,,,,,,,,2022-06-29 14:31:49,-0.473568,Bearish,,,
