Date,Real,Predicted
8/21/2020,11531.34,10373.44
8/29/2020,11465.84,11360.2
9/1/2020,11921.97,10417.22
9/3/2020,10140.85,10140.85
9/6/2020,10256.2,10219.2
9/7/2020,10373.44,10256.2
9/9/2020,10219.2,10666.39
9/13/2020,10332.83,11360.2
9/21/2020,10417.22,10373.44
9/24/2020,10736.32,10219.2
9/25/2020,10686.67,11360.2
10/1/2020,10619.13,10219.2
10/5/2020,10792.21,11360.2
10/7/2020,10666.39,11360.2
10/9/2020,11050.64,11360.2
10/10/2020,11293.22,11360.2
10/16/2020,11319.32,11360.2
10/17/2020,11360.2,11360.2
10/19/2020,11751.47,11360.2
10/20/2020,11909.99,10256.2
10/21/2020,12780.96,10140.85
10/25/2020,13028.83,11360.2
10/26/2020,13052.19,10219.2
10/28/2020,13266.4,10140.85
10/29/2020,13455.7,10417.22
11/3/2020,14023.53,10417.22
11/5/2020,15590.02,15590.02
11/10/2020,15297.21,10256.2
11/11/2020,15684.24,11921.97
11/13/2020,16320.7,10417.22
11/14/2020,16070.45,10219.2
11/17/2020,17659.38,10140.85
11/21/2020,18703.8,11921.97
11/30/2020,19695.87,10140.85
12/3/2020,19421.9,11909.99
12/6/2020,19359.4,11360.2
12/7/2020,19166.9,11360.2
12/10/2020,18254.63,10666.39
12/16/2020,21335.52,15590.02
12/17/2020,22797.16,22432.58
12/18/2020,23107.39,15684.24
12/19/2020,23821.61,19942.21
12/20/2020,23455.52,18703.8
12/31/2020,28923.63,23455.52
1/2/2021,32178.33,32945.17
1/7/2021,39432.28,37252.01
1/15/2021,36742.22,35663.49
1/16/2021,35994.98,40019.56
1/22/2021,32945.17,32945.17
1/27/2021,30366.15,31125.33
1/29/2021,34252.2,34252.2
2/9/2021,46420.42,54087.67
2/10/2021,44807.58,54087.67
2/17/2021,52119.71,55816.14
2/18/2021,51552.6,60575.89
2/22/2021,54087.67,54087.67
2/24/2021,49676.2,54087.67
2/26/2021,46276.87,54087.67
3/10/2021,55851.59,55816.14
3/16/2021,56900.75,55816.14
3/23/2021,54340.89,66947.66
3/27/2021,55817.14,66947.66
4/1/2021,58720.44,66947.66
4/11/2021,60002.43,66947.66
4/20/2021,56425,55816.14
4/26/2021,54001.39,55816.14
5/3/2021,57169.39,66947.66
5/5/2021,57436.11,55816.14
5/7/2021,57314.75,55816.14
5/9/2021,58240.84,66947.66
5/10/2021,55816.14,54087.67
5/21/2021,37252.01,37252.01
5/22/2021,37449.73,35663.49
5/25/2021,38324.72,35663.49
5/28/2021,35663.49,37252.01
6/2/2021,37568.68,37568.68
6/3/2021,39246.79,40862.46
6/16/2021,38349.01,40019.56
7/10/2021,33502.87,29864.04
7/20/2021,29790.35,30086.74
7/22/2021,32287.83,29864.04
7/28/2021,40019.56,46420.42
7/30/2021,42206.37,43160
8/5/2021,40862.46,40019.56
8/14/2021,47068.51,50399.66
8/19/2021,46760.62,49239.22
8/20/2021,49322.47,55817.14
8/22/2021,49239.22,50399.66
8/29/2021,48767.83,50399.66
8/31/2021,47100.89,50588.95
9/2/2021,49246.64,55817.14
9/3/2021,49999.14,57169.39
9/7/2021,46863.73,54087.67
9/8/2021,46048.31,51552.6
9/11/2021,45173.69,50399.66
9/13/2021,44940.73,50441.92
9/19/2021,47241.75,50399.66
9/21/2021,40734.38,44807.58
9/28/2021,41026.54,43084.29
10/3/2021,48200.01,50399.66
10/6/2021,55315,55816.14
10/10/2021,54659,54087.67
10/14/2021,57347.94,66947.66
10/17/2021,61528.33,66947.66
10/23/2021,61286.75,64774.26
10/28/2021,60575.89,66947.66
11/2/2021,63219.99,66947.66
11/3/2021,62896.48,66947.66
11/5/2021,60937.12,66947.66
11/9/2021,66947.66,66947.66
11/11/2021,64774.26,66947.66
11/17/2021,60344.87,66947.66
11/24/2021,57138.29,64774.26
11/28/2021,57274.88,61286.75
12/6/2021,50441.92,54340.89
12/7/2021,50588.95,61286.75
12/13/2021,46702.75,57274.88
12/16/2021,47632.38,50399.66
12/25/2021,50399.66,50399.66
1/3/2022,46446.1,50399.66
1/4/2022,45832.01,50399.66
1/5/2022,43451.13,49239.22
1/9/2022,41864.62,39678.12
1/14/2022,43059.96,39678.12
1/15/2022,43084.29,39678.12
1/29/2022,38166.84,39678.12
1/31/2022,38466.9,39678.12
2/1/2022,38694.59,39678.12
2/2/2022,36896.36,39678.12
2/12/2022,42217.87,39678.12
2/18/2022,39974.44,39678.12
2/21/2022,37008.16,38729.57
2/23/2022,37250.01,39678.12
2/28/2022,43160,43160
3/1/2022,44421.2,47122.21
3/7/2022,37988,37008.16
3/9/2022,41941.71,43160
3/11/2022,38729.57,39235.72
3/14/2022,39671.37,38166.84
3/17/2022,40917.9,39678.12
3/21/2022,41002.25,39678.12
3/28/2022,47122.21,51552.6
3/31/2022,45510.34,48767.83
4/3/2022,46407.35,50399.66
4/11/2022,39530.45,39530.45
4/13/2022,41147.79,39678.12
4/14/2022,39942.38,39678.12
4/17/2022,39678.12,39678.12
4/24/2022,39450.13,39678.12
4/27/2022,39235.72,39671.37
5/1/2022,38468.35,39678.12
5/3/2022,37728.95,39678.12
5/5/2022,36552.97,38324.72
5/6/2022,36013.77,36013.77
5/13/2022,29287.05,31125.33
5/14/2022,30086.74,29468.1
5/18/2022,28715.32,30086.74
5/29/2022,29468.1,29864.04
5/31/2022,31801.04,28715.32
6/4/2022,29864.04,29864.04
6/7/2022,31125.33,32178.33
6/12/2022,26574.53,26574.53
6/14/2022,22136.41,22432.58
6/26/2022,21038.07,13028.83
6/30/2022,19942.21,12780.96
7/2/2022,19252.81,11360.2
7/8/2022,21594.75,21594.75
7/11/2022,19963.61,15590.02
7/16/2022,21195.6,15590.02
7/17/2022,20798.16,15590.02
7/18/2022,22432.58,23396.62
7/19/2022,23396.62,23396.62
7/22/2022,22684.83,22136.41
7/23/2022,22451.07,15590.02
7/26/2022,21254.67,22432.58
7/28/2022,23842.93,23396.62
7/29/2022,23773.75,22432.58
7/31/2022,23293.32,19963.61
8/1/2022,23268.01,21254.67
